CaseIdentifier,Catchwords,Year,URL,WordCount,ParagraphCount,Author,LegalParties
[2020] SGHC 284,"Conflict of Laws — Choice of jurisdiction — Exclusive
Conflict of Laws — Natural forum
Civil Procedure — Service — Out of jurisdiction
Civil Procedure — Writ of summons ",2020,https://www.elitigation.sg/gd/s/2020_SGHC_284,14626,130,Mavis Chionh Sze Chyi JC,"Raeza Khaled Salem Ibrahim, Kulvinder Kaur and Charlene Wee Swee Ting (Salem Ibrahim LLC) for the plaintiff Calvin Liang (Essex Court Chambers Duxton (Singapore Group Practice)), Yu Kexin (Yu Law) (instructed) and Eugene Jedidiah Low (Ark Law Corporation) for the first and fifth defendants Gregory Vijayendran SC, Tan Eu Shan Kevin and Andrew Tan Jian Ming (Rajah & Tann Singapore LLP) for the sixth defendant."
[2020] SGHCF 23,Family Law — Matrimonial assets — Division,2020,https://www.elitigation.sg/gd/s/2020_SGHCF_23,21428,178,Tan Puay Boon JC,"Sim Bock Eng, Chan Yu Xin and Khoo Kiah Min Jolyn (WongPartnership LLP) for the plaintiff Khoo Boo Teck Randolph, Tricia Ho, Shawn Teo Kai Jie and Liu Chenghan Aloysius (Drew & Napier LLC) for the defendant."
[2020] SGHC 283,"Criminal Procedure and Sentencing — Taking additional evidence
 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_283,2533,26,Hoo Sheau Peng J,"Ramesh Chandr Tiwary (Ramesh Tiwary) for the accused Anandan Bala, Theong Li Han and Claire Poh (Attorney-General's Chambers) for the Prosecution."
[2020] SGHC 278,"Tort — Defamation — Justification
Criminal Law — Statutory offences — Protection From Harassment Act
Tort — Conspiracy",2020,https://www.elitigation.sg/gd/s/2020_SGHC_278,9084,86,Valerie Thean J,"Goh Kok Leong, Daniel Tan An Ye and Dillion Chua Hong Bin (Cai Hongbin) (Ang & Partners) for the plaintiff Bernard Sahagar s/o Tanggavelu and Beh Eng Siew (Lee Bon Leong & Co) for the first and second defendant Lok Vi Ming SC, Lee Sien Liang Joseph and Qabir Singh Sandhu (LVM Law Chambers LLC) for the third party (withdrawn)."
[2020] SGHC 275,"Contract — Misrepresentation — Fraudulent
Tort — Negligence — Duty of care
Tort — Vicarious liability",2020,https://www.elitigation.sg/gd/s/2020_SGHC_275,6369,101,Andre Maniam JC,Tan Li-Chern Terence (Robertson Chambers LLC) and Thangavelu (Trident Law Corporation) (instructed) for the plaintiff Ng Yeow Khoon and Ho Wei Liang Sherman (Shook Lin & Bok LLP) for the defendant.
[2020] SGHC 282,Civil Procedure — Stay of proceedings ,2020,https://www.elitigation.sg/gd/s/2020_SGHC_282,2885,32,Tan Siong Thye J,"Chiok Beng Piow and Margaret Lee Hui Zhen (JHT Law Corporation) for the plaintiff Goh Siong Pheck Francis, Natasha Goh Leshuang and Selina Yap Sher Lin (Harry Elias Partnership LLP) for the defendants."
[2020] SGCA 123,Land — Strata titles — Meetings ,2020,https://www.elitigation.sg/gd/s/2020_SGCA_123,12153,101,Tay Yong Kwang JA,Lee Sien Liang Joseph and Muk Chen Yeen Jonathan (LVM Law Chambers LLC) for the appellant Chew Kei-Jin and Tan Silin Stephanie (Chen Silin) (Ascendant Legal LLC) for the respondent Wah Hsien-Wen Terence and Mok Zi Cong (Dentons Rodyk & Davidson LLP) for the intervener.
[2020] SGCA 122,"Constitutional Law — Judicial review
Constitutional Law — Equal protection of the law ",2020,https://www.elitigation.sg/gd/s/2020_SGCA_122,10347,86,Sundaresh Menon CJ,Ravi s/o Madasamy (Carson Law Chambers) for the appellant Francis Ng Yong Kiat SC and Wuan Kin Lek Nicholas (Attorney-General's Chambers) for the respondent.
[2020] SGHC 279,"Civil Procedure — Jurisdiction — Inherent
Civil Procedure — Jurisdiction — Submission
Civil Procedure — Mareva injunctions
Civil Procedure — Pleadings
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_279,15632,176,Andrew Ang SJ,"Ong Tun Wei Danny, Bethel Chan Ruiyi, Yam Wern Jhien and Chen Lixin (Rajah & Tann LLP) for the plaintiff Probin Stephan Dass, Liew Zhi Hao and Yong Khung Mun, Aloysious (Shook Lin & Bok LLP), Harpreet Singh Nehal SC, Jordan Tan and Victor Leong (Audent Chambers LLC) (instructed) for the defendants."
[2020] SGHCF 22,"Succession and Wills — Testamentary capacity
Succession and Wills — Undue influence
",2020,https://www.elitigation.sg/gd/s/2020_SGHCF_22,3881,239,Unknown,Not found
[2020] SGHC 281,"Confidence — Breach of confidence
Injunctions — Interlocutory Injunction",2020,https://www.elitigation.sg/gd/s/2020_SGHC_281,3108,32,Choo Han Teck J,"Thng Yu Ting Angelia, Tan Zhi Xin and Sim Wei Min Stephanie (Braddell Brothers LLP) for the plaintiffLuo Ling Ling and Sharifah Nabilah Binte Syed Omar (Luo Ling Ling LLC) for the 1st to 4th defendants."
[2020] SGCA 121,"Building and Construction Law — Statutes and regulations — Building and Construction Industry Security of Payment Act
Building and Construction Law — Termination — Consequences 
",2020,https://www.elitigation.sg/gd/s/2020_SGCA_121,4797,54,Steven Chong JA,"Valliappan Subramaniam and Ng Hweelon (Veritas Law Corporation) for the appellant in CA/CA 13/2020 and the respondent in CA/CA 112/2020 Ong Kok Seng, Ang Minghao and Tan Ting Ting (Patrick Ong Law LLC) for the respondent in CA/CA 13/2020 and the appellant in CA/CA 112/2020."
[2020] SGHC 271,"Companies — Common law derivative action — Whether leave necessary to commence
Tort — Conspiracy — Unlawful means
Equity — Fiduciary relationships — Duties — Breach",2020,https://www.elitigation.sg/gd/s/2020_SGHC_271,18168,145,Valerie Thean J,"Leslie Yeo and Jolene Tan (Sterling Law Corporation) for the plaintiff Suresh S/O Damodara, Clement Ong and Joni Khoo (Damodara Ong LLC) for the first and third defendant Leo Cheng Suan and Denise Tay (Infinitus Law Corporation) for the second, fourth, fifth and sixth defendant"
[2020] SGHC 269,Arbitration — Award — Recourse against award — Setting aside,2020,https://www.elitigation.sg/gd/s/2020_SGHC_269,2058,70,Andre Maniam JC,"Nandakumar Ponniya Servai, Wong Tjen Wee, Jeunhsien Daniel Ho and Singh Kartik (Wong & Leow LLC) for the plaintiff Goh Phai Cheng SC (Goh Phai Cheng LLC) for the defendant."
[2020] SGHC(I) 27,"Companies — Oppression — Minority shareholders — Buy-out order
Companies — Shares — Valuation of shares — Valuation date
Evidence — Admissibility of evidence — Hearsay — General and specific hearsay
Evidence — Weight of evidence 
Damages — Measure of damages — Wrotham Park damages
Companies — Shares — Valuation of shares — Discount for lack of marketability 
",2020,https://www.elitigation.sg/gd/s/2020_SGHCI_27,27072,314,Kannan Ramesh J,"Dinesh Dhillon, Lim Dao Kai, Margaret Joan Ling, Teh Shi Ying, Han Jiajun and Dhivya Naidu (Allen & Gledhill LLP) for the plaintiff Toh Kian Sing SC, Cheng Wai Yuen, Mark, Chew Xiang, Soh Yu Xian, Priscilla, Lim Wee Teck, Darren and Yu Qianqian (Rajah & Tann Singapore LLP) for the first defendant See Chern Yang, Teng Po Yew and Audie Wong Cheng Siew (Drew & Napier LLC) for the second defendant."
[2020] SGHCR 9,Civil Procedure — Pleadings — Rejoinders — Leave,2020,https://www.elitigation.sg/gd/s/2020_SGHCR_9,10912,84,Elton Tan Xue Yang AR,Ho Seng Giap (He Chengye) and Adly Rizal Bin Said (Tito Isaac & Co LLP) for the plaintiff Tan Kia Hua (Chen Jiahua) (WongPartnership LLP) for the defendant.
